id,label,rendered,recomputed,delta
FIG-accounting-023,Supplies (grand total),17458.35,17458.35,MATCH
FIG-accounting-024,Consumptive use (grand total),16209.28,16209.28,MATCH
FIG-accounting-025,Balance (grand total),1249.07,1249.07,MATCH
FIG-accounting-026,Surface (panel foot),11407.71,11407.71,MATCH
FIG-accounting-027,Groundwater (panel foot),4377.38,4377.38,MATCH
FIG-accounting-028,Rain (panel foot),1673.27,1673.27,MATCH
FIG-accounting-029,Account MER-ACCT-001 Consumptive Use,4589.61,4589.61,MATCH
FIG-accounting-030,Account MER-ACCT-001 Surface,5500.97,5500.97,MATCH
FIG-accounting-031,Account MER-ACCT-001 Groundwater,0.00,0.00,MATCH
FIG-accounting-032,Account MER-ACCT-001 Precip,420.12,420.12,MATCH
FIG-accounting-033,Account MER-ACCT-001 Supplies,5921.09,5921.09,MATCH
FIG-accounting-034,Account MER-ACCT-001 Net,1331.48,1331.48,MATCH
FIG-accounting-035,Account MER-ACCT-001 Allocation,957.22,957.22,MATCH
FIG-accounting-036,Account MER-ACCT-001 Remaining,957.22,957.22,MATCH
FIG-accounting-037,Zone Halvern Irrigation-Urban GSA Consumptive Use,1189.75,1189.75,MATCH
FIG-accounting-038,Zone Halvern Irrigation-Urban GSA Surface,1170.93,1170.93,MATCH
FIG-accounting-039,Zone Halvern Irrigation-Urban GSA Groundwater,142.14,142.14,MATCH
FIG-accounting-040,Zone Halvern Irrigation-Urban GSA Precip,110.56,110.56,MATCH
FIG-accounting-041,Zone Halvern Irrigation-Urban GSA Supplies,1423.63,1423.63,MATCH
FIG-accounting-042,Zone Halvern Irrigation-Urban GSA Net,233.88,233.88,MATCH
FIG-accounting-043,Zone Halvern Irrigation-Urban GSA Allocation,750.32,750.32,MATCH
FIG-accounting-044,Zone Halvern Irrigation-Urban GSA Carried fwd,303.40,303.40,MATCH
FIG-accounting-045,Zone Halvern Irrigation-Urban GSA Remaining,911.58,911.58,MATCH
