id,label,recomputed
FIG-accounting-023,Supplies (grand total),17458.35
FIG-accounting-024,Consumptive use (grand total),16209.28
FIG-accounting-025,Balance (grand total),1249.07
FIG-accounting-026,Surface (panel foot),11407.71
FIG-accounting-027,Groundwater (panel foot),4377.38
FIG-accounting-028,Rain (panel foot),1673.27
FIG-accounting-031,Account MER-ACCT-001 Consumptive Use,4589.61
FIG-accounting-029,Account MER-ACCT-001 Surface,5500.97
FIG-accounting-033,Account MER-ACCT-001 Groundwater,0.00
FIG-accounting-034,Account MER-ACCT-001 Precip,420.12
FIG-accounting-030,Account MER-ACCT-001 Supplies,5921.09
FIG-accounting-032,Account MER-ACCT-001 Net,1331.48
FIG-accounting-035,Account MER-ACCT-001 Allocation,957.22
FIG-accounting-036,Account MER-ACCT-001 Remaining,957.22
FIG-accounting-047,Zone Halvern Irrigation-Urban GSA Consumptive Use,1189.75
FIG-accounting-043,Zone Halvern Irrigation-Urban GSA Surface,1170.93
FIG-accounting-044,Zone Halvern Irrigation-Urban GSA Groundwater,142.14
FIG-accounting-045,Zone Halvern Irrigation-Urban GSA Precip,110.56
FIG-accounting-046,Zone Halvern Irrigation-Urban GSA Supplies,1423.63
FIG-accounting-048,Zone Halvern Irrigation-Urban GSA Net,233.88
FIG-accounting-049,Zone Halvern Irrigation-Urban GSA Allocation,750.32
FIG-accounting-050,Zone Halvern Irrigation-Urban GSA Carried fwd,303.40
FIG-accounting-051,Zone Halvern Irrigation-Urban GSA Remaining,911.58
