id,pin,label,recomputed
CHK-parcels-051,(all 76 parcels),"Both periods, all 152 parcel-periods: violations of residual = supply_total - outputs_total",0
CHK-parcels-053,(all 76 parcels),"Both periods: parcel-periods where the Net Banked/Drawn term is non-zero, i.e. banked credit contributes to the panel at all",0
CHK-parcels-054,(all 76 parcels),Both periods: parcel-periods where the Recharge term is non-zero (the Uses foot cell reads something other than 0.00),109
CHK-parcels-060,(all 76 parcels),et_estimate ledger rows in the whole database. The suppression rule above is inert while this is 0,0
CHK-parcels-070,(all 76 parcels),"WY 2024-2025 (period 1): parcels with NO calculation runs, which is what would render the ET-not-computed branch",0
CHK-parcels-071,(all 76 parcels),WY 2025-2026 (period 2): parcels with NO calculation runs,0
CHK-parcels-080,(all 76 parcels),Parcels whose pane resolves to WY 2024-2025 (period 1) with no ?period= given,0
CHK-parcels-081,(all 76 parcels),Parcels whose pane resolves to WY 2025-2026 (period 2) with no ?period= given,76
CHK-parcels-082,(all 76 parcels),"Of the six ISS-147 parcels (MER-APN-010/011/012/013/014/019), how many resolve to WY 2025-2026 (period 2) with no ?period= given. Expect 6.",6
CHK-parcels-090,(all 76 parcels),Total parcels,76
FIG-parcels-001,MER-APN-011 p1,Supplies (segment),224.64
FIG-parcels-001,MER-APN-011 p2,Supplies (segment),32.89
FIG-parcels-001,MER-APN-017 p2,Supplies (segment),395.97
FIG-parcels-001,MER-APN-032 p2,Supplies (segment),765.41
FIG-parcels-002,MER-APN-011 p1,Uses (segment),406.21
FIG-parcels-002,MER-APN-011 p2,Uses (segment),363.26
FIG-parcels-002,MER-APN-017 p2,Uses (segment),263.07
FIG-parcels-002,MER-APN-032 p2,Uses (segment),765.41
FIG-parcels-003,MER-APN-011 p1,Residual (segment),-181.57
FIG-parcels-003,MER-APN-011 p2,Residual (segment),-330.37
FIG-parcels-003,MER-APN-017 p2,Residual (segment),132.90
FIG-parcels-003,MER-APN-032 p2,Residual (segment),0.00
FIG-parcels-004,MER-APN-011 p1,Foot: Surface,161.78
FIG-parcels-004,MER-APN-011 p2,Foot: Surface,0.00
FIG-parcels-004,MER-APN-017 p2,Foot: Surface,0.00
FIG-parcels-004,MER-APN-032 p2,Foot: Surface,719.30
FIG-parcels-005,MER-APN-011 p1,Foot: Groundwater,0.00
FIG-parcels-005,MER-APN-011 p2,Foot: Groundwater,0.00
FIG-parcels-005,MER-APN-017 p2,Foot: Groundwater,368.34
FIG-parcels-005,MER-APN-032 p2,Foot: Groundwater,0.00
FIG-parcels-006,MER-APN-011 p1,Foot: Rain,62.85
FIG-parcels-006,MER-APN-011 p2,Foot: Rain,32.89
FIG-parcels-006,MER-APN-017 p2,Foot: Rain,27.64
FIG-parcels-006,MER-APN-032 p2,Foot: Rain,46.11
FIG-parcels-007,MER-APN-011 p1,Foot: Consumptive use,370.26
FIG-parcels-007,MER-APN-011 p2,Foot: Consumptive use,363.26
FIG-parcels-007,MER-APN-017 p2,Foot: Consumptive use,263.07
FIG-parcels-007,MER-APN-032 p2,Foot: Consumptive use,591.28
FIG-parcels-008,MER-APN-011 p1,Foot: Recharge,35.95
FIG-parcels-008,MER-APN-011 p2,Foot: Recharge,0.00
FIG-parcels-008,MER-APN-017 p2,Foot: Recharge,0.00
FIG-parcels-008,MER-APN-032 p2,Foot: Recharge,174.13
FIG-parcels-009,MER-APN-011 p1,Foot: Storage change,0.00
FIG-parcels-009,MER-APN-011 p2,Foot: Storage change,0.00
FIG-parcels-009,MER-APN-017 p2,Foot: Storage change,0.00
FIG-parcels-009,MER-APN-032 p2,Foot: Storage change,0.00
FIG-parcels-011,MER-APN-032 p2,ET-not-computed branch: surface (branch not rendered),719.30
FIG-parcels-012,MER-APN-032 p2,ET-not-computed branch: groundwater (branch not rendered),0.00
FIG-parcels-013,MER-APN-011,Area (Acres),109.80
FIG-parcels-013,MER-APN-017,Area (Acres),89.84
FIG-parcels-013,MER-APN-032,Area (Acres),154.69
FIG-parcels-014,MER-APN-017,Well share (fraction),1.00
FIG-parcels-014,MER-APN-032,Well share (fraction),1.00
FIG-parcels-015,MER-APN-011,Recent ledger entries: first Amount (AF),241.56
FIG-parcels-015,MER-APN-017,Recent ledger entries: first Amount (AF),-47.48
FIG-parcels-015,MER-APN-032,Recent ledger entries: first Amount (AF),-75.23
