id,rendered
FIG-accounting-023,17458.35
FIG-accounting-024,16209.28
FIG-accounting-025,1249.07
FIG-accounting-026,11407.71
FIG-accounting-027,4377.38
FIG-accounting-028,1673.27
FIG-accounting-031,4589.61
FIG-accounting-029,5500.97
FIG-accounting-033,0.00
FIG-accounting-034,420.12
FIG-accounting-030,5921.09
FIG-accounting-032,1331.48
FIG-accounting-035,957.22
FIG-accounting-036,957.22
FIG-accounting-047,1189.75
FIG-accounting-043,1170.93
FIG-accounting-044,142.14
FIG-accounting-045,110.56
FIG-accounting-046,1423.63
FIG-accounting-048,233.88
FIG-accounting-049,750.32
FIG-accounting-050,303.40
FIG-accounting-051,911.58
