id,label,rendered,recomputed,delta
FIG-datasync-001,"Station 1 location, latitude",37.18610,37.18610,MATCH
FIG-datasync-002,"Station 1 location, longitude",-120.68290,-120.68290,MATCH
FIG-datasync-003,Current reading value (station 1 has no staged record),,0,NO VALUE
FIG-datasync-004,Recent record value (station 1 has no staged record),,0,NO VALUE
FIG-geography-001,Zone 2 WY 2025-2026 Allocation (AF),750.32,750.32,MATCH
FIG-geography-002,Zone 2 WY 2025-2026 Carried forward (AF),303.40,303.40,MATCH
FIG-geography-003,"Zone 2 WY 2025-2026 Used (AF), labelled pumped",142.14,142.14,MATCH
FIG-geography-004,Zone 2 WY 2025-2026 Remaining (AF),911.58,911.58,MATCH
FIG-geography-005,Zone 2 parcel MER-APN-026 Area (acres),12.74,12.74,MATCH
FIG-recharge-001,El Nido Recharge Basin 1 Capacity (AF),637.10,637.10,MATCH
FIG-recharge-002,El Nido Recharge Basin 1 newest measurement Value,315.26,315.26,MATCH
FIG-recharge-003,El Nido Recharge Basin 1 newest event Volume (AF),127.42,127.42,MATCH
FIG-recharge-004,"Recharge list first row Capacity, whole AF",637,637,MATCH
FIG-setup-001,"Confirmation page Area, square miles (page not reachable)",,800.9,NO VALUE
FIG-setup-002,"Wizard boundary option Area, square miles",800.9,800.9,MATCH
FIG-wells-001,Well MER-W-001 irrigated parcel Fraction,1.00,1.00,MATCH
FIG-wells-002,Well MER-W-001 Reference elevation (ft),182.4,182.4,MATCH
FIG-wells-003,Well MER-W-001 Year Pumping Began,1987,1987,MATCH
FIG-wells-004,Well MER-W-001 Capacity (gpm),2000.00,2000.00,MATCH
